TV_ID,CREATIVE_ID,PREVIOUS_CONTENT_ID,NEXT_CONTENT_ID,PREVIOUS_NETWORK_ID,NEXT_NETWORK_ID,AUDIENCES,TIMESTAMP
e4c724f7,301783,EP015418440677,EP000195390439,Fox,Fox Sports,"ADB-3469623,ADB-1788177,ADB-3469626,ADB-3469612,ADB-1788972,ADB-3469625,ADB-1788188,ADB-3469624,ADB-3469628,ADB-3469634,ADB-3469614",1.48138E+12
93473756,308117,EP009311820203,EP009311820203,CBS,CBS,"ADB-1788951,ADB-1788949",1.48138E+12
93473756,308122,EP009311820140,EP009311820140,TBS,TBS,"ADB-1788951,ADB-1788949",1.48105E+12
94f764c5,301772,EP000191483228,EP000191483228,Turner Network TV,Turner Network TV,"ADB-1788951,ADB-1788188",1.48105E+12
46359476,301778,unknown,unknown,N/A,N/A,ADB-3469628,1.47975E+12
46359476,308122,EP019213280030,EP019213280030,N/A,N/A,ADB-3469628,1.47975E+12
46359476,301784,unknown,unknown,N/A,N/A,ADB-3469628,1.47841E+12
46359476,301778,EP019213280031,EP019213280031,N/A,N/A,ADB-3469628,1.47841E+12
a6b45503,301772,unknown,EP000191483228,N/A,Turner Network TV,ADB-1788177,1.48096E+12
a6b45503,301772,EP000191483228,EP000195595547,Turner Network TV,NBCSN,ADB-1788177,1.48096E+12
a6b45503,301783,SH000199170000,unknown,ESPN,N/A,ADB-1788177,1.48045E+12
a6b45503,301783,EP000195595527,EP000195595548,USA Network,NBCSN,ADB-1788177,1.48045E+12
a6b45503,308122,EP006819110124,EP006819110124,USA Network,USA Network,ADB-1788177,1.47967E+12
34d32427,308117,EP017899670105,EP017899670105,Food Network,Food Network,ADB-1788188,1.47967E+12
34d32427,308122,EP017899670105,EP017899670105,Food Network,Food Network,ADB-1788188,1.48E+12
66a61586,301783,unknown,unknown,N/A,N/A,"ADB-1788188,ADB-1788966,ADB-1788951",1.48E+12
66a61586,301783,MV001762310000,MV001762310000,CMT,CMT,"ADB-1788188,ADB-1788966,ADB-1788951",1.47967E+12
66a61586,301783,unknown,unknown,N/A,N/A,"ADB-1788188,ADB-1788966,ADB-1788951",1.47967E+12
66a61586,308122,EP009311820217,EP009311820217,CBS,CBS,"ADB-1788188,ADB-1788966,ADB-1788951",1.47979E+12
66a61586,301783,MV000369880000,MV000369880000,CMT,CMT,"ADB-1788188,ADB-1788966,ADB-1788951",1.47979E+12
66a61586,301778,EP010783390211,EP010783390211,HGTV,HGTV,"ADB-1788188,ADB-1788966,ADB-1788951",1.48045E+12
66a61586,301783,unknown,unknown,N/A,N/A,"ADB-1788188,ADB-1788966,ADB-1788951",1.48045E+12
66a61586,308122,EP009311820033,EP009311820033,TBS,TBS,"ADB-1788188,ADB-1788966,ADB-1788951",1.47994E+12
66a61586,308122,EP017211070520,EP017211070520,NBC,NBC,"ADB-1788188,ADB-1788966,ADB-1788951",1.47994E+12
66a61586,301783,unknown,unknown,N/A,N/A,"ADB-1788188,ADB-1788966,ADB-1788951",1.4802E+12
66a61586,301783,EP020674310014,EP020674310014,NBC,NBC,"ADB-1788188,ADB-1788966,ADB-1788951",1.4802E+12
